,name,year,county,time,humans,seed,sheep,lynx,wolf,predators,popst,red_fox,north,east,habitat1,habitat2
77,Soderml,32,12,5,16.4,5799,8602,1.514,2.422,3.936,"108,327",15.3,463,361,3.657268978,-0.911660981
78,Skara,32,13,5,20.4,17043,9775,1.095,16.666,17.761,"167,384",88.1,382,170,0,0
79,Alvsb,32,14,5,16,9372,7321,0.565,2.664,3.229,"197,697",22.4,352,101,3.657268978,-0.911660981
80,Goteborg,32,15,5,29,12612,10358,0,0.94,0.94,"154,054",22.6,381,44,1.396316619,2.887332404
81,Ostergl,32,16,5,16.1,6942,5768,1.546,1.717,3.263,"187,609",31.2,375,302,3.657268978,-0.911660981
82,Kalmar,32,17,5,14.2,6410,7703,0.513,1.197,1.71,"165,743",51.6,237,323,3.657268978,-0.911660981
83,Jonk,32,18,5,12.8,7525,8702,0.747,1.681,2.428,"137,478",66.1,269,217,3.657268978,-0.911660981
84,Halland,32,19,5,15.6,11694,8285,0,1.049,1.049,"88,975",16.1,208,107,1.05374808,3.462937462
85,Kronob,32,20,5,11.5,5101,8334,0.636,3.288,3.924,"108,741",31.6,184,224,3.657268978,-0.911660981
86,Kristian,32,21,5,23.8,12504,11129,0.317,0.633,0.95,"150,372",50.5,103,170,-3.194101806,10.60044019
87,Blek,32,22,5,28.1,9979,10983,0.327,1.636,1.963,"85,734",73,120,263,2.835104484,0.469791159
88,Malmo,32,23,5,39.6,25891,11866,0,0,0,"200,103",35.4,58,136,-3.194101806,10.60044019
89,Norrb,33,1,6,0.4,171,358,0.009,1.396,1.405,"45,356",3.2,1439,513,-5.108696594,-3.057622193
90,Vasterb,33,2,6,0.9,242,624,0.422,1.299,1.721,"53,144",18.6,1179,415,-5.309734561,-3.355977912
91,Jamt,33,3,6,0.8,233,1306,0.018,0.573,0.591,"44,239",4.1,976,222,-4.993817756,-2.887133211
92,Vastern,33,4,6,3.6,1179,2474,0.303,0.606,0.909,"83,920",7.2,962,387,-4.781058813,-2.548038063
93,Gavle,33,5,6,5.4,1628,4262,1.417,0.911,2.328,"107,250",14,756,336,-4.062374376,-1.464477498
94,Koppar,33,6,6,4.6,2184,4013,0.822,0.526,1.348,"139,538",6.6,696,221,-5.0056477,-2.88665074
95,Varm,33,7,6,9.6,4546,3456,1.289,2.476,3.765,"186,783",32.1,564,140,-3.511004297,-2.628673034
96,Upps,33,8,6,11.8,7720,8312,0.971,6.245,7.216,"84,777",31.5,588,422,3.657268978,-0.911660981
97,Vastml,33,9,6,13.8,6313,5168,5.746,1.966,7.712,"91,461",33.1,557,337,3.154624876,-0.893471208
98,Stock,33,10,6,28.1,8365,10194,4.124,7.659,11.783,"190,753",28.7,519,453,3.657268978,-0.911660981
99,Orebro,33,11,6,13,4750,5307,1.284,2.997,4.281,"121,530",33,499,254,1.462591827,-1.005609686
100,Soderml,33,12,6,16.9,5743,9081,3.33,5.146,8.476,"111,833",17.7,463,361,3.657268978,-0.911660981
101,Alvsb,33,14,6,17,9538,6704,1.049,2.26,3.309,"210,259",34.5,352,101,3.657268978,-0.911660981
102,Goteborg,33,15,6,29.5,13139,12924,0.188,1.128,1.316,"157,012",10.3,381,44,1.396316619,2.887332404
103,Ostergl,33,16,6,16.9,7642,6734,1.975,1.46,3.435,"197,045",42.8,375,302,3.657268978,-0.911660981
104,Kalmar,33,17,6,14.9,6631,8033,0.342,0.855,1.197,"174,011",47.5,237,323,3.657268978,-0.911660981
105,Jonk,33,18,6,13.5,8201,8914,0.747,3.736,4.483,"144,853",66.7,269,217,3.657268978,-0.911660981
106,Halland,33,19,6,16.3,11172,9653,0,1.049,1.049,"93,355",31.6,208,107,1.05374808,3.462937462
107,Kronob,33,20,6,12.1,5068,7553,0.954,3.924,4.878,"114,156",56.4,184,224,3.657268978,-0.911660981
108,Kristian,33,21,6,25,13607,12568,0,1.108,1.108,"157,933",58.3,103,170,-3.194101806,10.60044019
109,Blek,33,22,6,29.7,10270,10880,0,1.964,1.964,"90,801",78.5,120,263,2.835104484,0.469791159
110,Malmo,33,23,6,41.5,25635,13482,0,0,0,"209,584",107.9,58,136,-3.194101806,10.60044019
111,Norrb,34,1,7,0.4,171,358,0,0.585,0.585,"45,356",3.5,1439,513,-5.108696594,-3.057622193
112,Vasterb,34,2,7,0.9,242,624,0.776,1.518,2.294,"53,144",16,1179,415,-5.309734561,-3.355977912
113,Jamt,34,3,7,0.8,233,1306,0.055,0.518,0.573,"44,239",3.1,976,222,-4.993817756,-2.887133211
114,Gavle,34,5,7,5.4,1628,4262,1.215,0.709,1.924,"107,250",14.5,756,336,-4.062374376,-1.464477498
115,Koppar,34,6,7,4.6,2184,4013,0.46,0.822,1.282,"139,538",7.1,696,221,-5.0056477,-2.88665074
116,Varm,34,7,7,9.6,4546,3456,1.96,2.785,4.745,"186,783",31.7,564,140,-3.511004297,-2.628673034
117,Upps,34,8,7,11.8,7720,8312,2.359,4.996,7.355,"84,777",35.9,588,422,3.657268978,-0.911660981
118,Vastml,34,9,7,13.8,6313,5168,4.082,4.385,8.467,"91,461",50.4,557,337,3.154624876,-0.893471208
119,Stock,34,10,7,28.1,8365,10194,2.504,3.535,6.039,"190,753",6.5,519,453,3.657268978,-0.911660981
120,Orebro,34,11,7,13,4750,5307,0.428,0.107,0.535,"121,530",6.3,499,254,1.462591827,-1.005609686
121,Soderml,34,12,7,16.9,5743,9081,2.573,2.725,5.298,"111,833",14.7,463,361,3.657268978,-0.911660981
122,Alvsb,34,14,7,17,9538,6704,0.646,1.13,1.776,"210,259",12.1,352,101,3.657268978,-0.911660981
123,Goteborg,34,15,7,29.5,13139,12924,0,0,0,"157,012",3,381,44,1.396316619,2.887332404
124,Ostergl,34,16,7,16.9,7642,6734,0.945,2.404,3.349,"197,045",44.5,375,302,3.657268978,-0.911660981
125,Kalmar,34,17,7,14.9,6631,8033,0.257,0.684,0.941,"174,011",88.5,237,323,3.657268978,-0.911660981
126,Jonk,34,18,7,13.5,8201,8914,0.654,1.121,1.775,"144,853",76.8,269,217,3.657268978,-0.911660981
127,Halland,34,19,7,16.3,11172,9653,0,0,0,"93,355",29.2,208,107,1.05374808,3.462937462
128,Kronob,34,20,7,12.1,5068,7553,0.318,4.03,4.348,"114,156",56.6,184,224,3.657268978,-0.911660981
129,Kristian,34,21,7,25,13607,12568,0,2.058,2.058,"157,933",57,103,170,-3.194101806,10.60044019
130,Blek,34,22,7,29.7,10270,10880,1.636,0.655,2.291,"90,801",107.4,120,263,2.835104484,0.469791159
131,Malmo,34,23,7,41.5,25635,13482,0,0,0,"209,584",125.1,58,136,-3.194101806,10.60044019
132,Norrb,35,1,8,0.4,171,358,0,0.179,0.179,"45,356",3.4,1439,513,-5.108696594,-3.057622193
133,Vasterb,35,2,8,0.9,242,624,0.827,1.282,2.109,"53,144",17.1,1179,415,-5.309734561,-3.355977912
134,Jamt,35,3,8,0.8,233,1306,0.018,0.518,0.536,"44,239",1.2,976,222,-4.993817756,-2.887133211
135,Gavle,35,5,8,5.4,1628,4262,1.468,1.367,2.835,"107,250",12.4,756,336,-4.062374376,-1.464477498
136,Koppar,35,6,8,4.6,2184,4013,0.921,0.46,1.381,"139,538",6.6,696,221,-5.0056477,-2.88665074
137,Varm,35,7,8,9.6,4546,3456,2.424,2.785,5.209,"186,783",34.9,564,140,-3.511004297,-2.628673034
138,Upps,35,8,8,11.8,7720,8312,1.804,2.221,4.025,"84,777",33.4,588,422,3.657268978,-0.911660981
139,Vastml,35,9,8,13.8,6313,5168,5.292,2.722,8.014,"91,461",39,557,337,3.154624876,-0.893471208
140,Stock,35,10,8,28.1,8365,10194,0.589,2.209,2.798,"190,753",2.8,519,453,3.657268978,-0.911660981
141,Orebro,35,11,8,13,4750,5307,0.214,1.284,1.498,"121,530",5.1,499,254,1.462591827,-1.005609686
142,Soderml,35,12,8,16.9,5743,9081,2.422,2.725,5.147,"111,833",18,463,361,3.657268978,-0.911660981
143,Skara,35,13,8,21.3,17199,13207,0.973,3.649,4.622,"175,175",17.9,382,170,0,0
144,Alvsb,35,14,8,17,9538,6704,1.372,2.341,3.713,"210,259",20.5,352,101,3.657268978,-0.911660981
145,Goteborg,35,15,8,29.5,13139,12924,0,1.128,1.128,"157,012",17.7,381,44,1.396316619,2.887332404
146,Ostergl,35,16,8,16.9,7642,6734,1.889,3.177,5.066,"197,045",50.2,375,302,3.657268978,-0.911660981
147,Kalmar,35,17,8,14.9,6631,8033,0,3.335,3.335,"174,011",63.3,237,323,3.657268978,-0.911660981
148,Jonk,35,18,8,13.5,8201,8914,0.654,1.681,2.335,"144,853",68.8,269,217,3.657268978,-0.911660981
149,Halland,35,19,8,16.3,11172,9653,0,0.175,0.175,"93,355",20.6,208,107,1.05374808,3.462937462
150,Kronob,35,20,8,12.1,5068,7553,1.379,7.211,8.59,"114,156",57.4,184,224,3.657268978,-0.911660981
151,Kristian,35,21,8,25,13607,12568,0,2.85,2.85,"157,933",129.7,103,170,-3.194101806,10.60044019
152,Blek,35,22,8,29.7,10270,10880,2.946,3.927,6.873,"90,801",90.3,120,263,2.835104484,0.469791159
153,Malmo,35,23,8,41.5,25635,13482,0,0,0,"209,584",28.5,58,136,-3.194101806,10.60044019
154,Norrb,36,1,9,0.4,171,358,0,0.217,0.217,"45,356",3.4,1439,513,-5.108696594,-3.057622193
155,Vasterb,36,2,9,0.9,242,624,0.017,1.316,1.333,"53,144",12.3,1179,415,-5.309734561,-3.355977912
156,Jamt,36,3,9,0.8,233,1306,0.037,0.555,0.592,"44,239",1,976,222,-4.993817756,-2.887133211
157,Vastern,36,4,9,3.6,1179,2474,0.216,0.822,1.038,"83,920",15.6,962,387,-4.781058813,-2.548038063
158,Gavle,36,5,9,5.4,1628,4262,1.67,1.265,2.935,"107,250",13.6,756,336,-4.062374376,-1.464477498
